id,name,influence
25,Pediococcus acidilactici,1
35,Lactobacillus ruminis,1
51,Bifidobacterium bifidum,1
86,Lactobacillus plantarum,1
117,Lactobacillus brevis,1
135,Bifidobacterium pseudocatenulatum,1
161,Propionibacterium freudenreichii (Propionibacterium shermanii),1
169,Lactococcus lactis,1
179,Clostridium butyricum,1
190,Clostridium sporogenes,1
191,Streptococcus thermophilus,1
224,Lactobacillus paracasei,1
237,Eubacterium hallii,1
244,Bifidobacterium breve,1
267,Blautia hydrogenotrophica (Ruminococcus hydrogenotrophicus),1
273,"Bifidobacterium longum (Bifidobacterium infantis, Bifidobacterium suis)",1
275,Oxalobacter formigenes,1
280,Akkermansia muciniphila,1
304,Bacillus coagulans,1
306,Bifidobacterium angulatum,1
312,Lactobacillus helveticus,1
330,Lactobacillus fermentum,1
337,Bacteroides fragilis,1
357,Colonocyte (host colon),1
364,Lactobacillus salivarius,1
381,Bifidobacterium animalis,1
387,Bacteroides finegoldii (Alistipes finegoldii),1
400,Lactobacillus reuteri,1
410,Bifidobacterium adolescentis,1
412,Bacillus clausii,1
429,Lactobacillus amylovorus,1
443,Lactobacillus casei,1
477,Lactobacillus acidophilus,1
499,Clostridium acetobutylicum,1
500,Paenibacillus polymyxa,1
505,Faecalibacterium prausnitzii,1
524,Lactobacillus crispatus,1
540,Clostridium cellulovorans,1
547,Methanosphaera stadtmanae,1
560,Lactobacillus rhamnosus,1
